Location,Unit,Disturbance,Transect,Plot,avgLAI
CF,NA,B,1,195,2.76062
CF,NA,B,1,185,2.934815
CF,NA,B,1,175,2.742905
CF,NA,B,1,165,2.578005
CF,NA,B,1,155,2.45069
CF,NA,B,1,145,1.936445
CF,NA,B,1,135,3.443805
CF,NA,B,1,125,2.296
CF,NA,B,1,115,2.112115
CF,NA,B,1,105,1.74803
CF,NA,B,1,95,2.10075
CF,NA,B,1,75,2.541945
CF,NA,B,1,65,7.909665
CF,NA,B,1,45,5.81652
CF,NA,B,1,35,4.386115
CF,NA,B,1,25,2.50819
CF,NA,B,1,15,4.97474
CF,NA,B,1,5,5.45147
CF,NA,B,2,45,2.39784
CF,NA,B,2,35,2.2284
CF,NA,B,2,25,2.799345
CF,NA,B,2,15,1.15588
CF,NA,B,2,5,3.67482
CF,NA,B,3,75,3.55385
CF,NA,B,3,65,4.35903
CF,NA,B,3,55,3.22667
CF,NA,B,3,45,4.789785
CF,NA,B,3,35,3.507755
CF,NA,B,3,25,2.98558
CF,NA,B,3,15,4.220595
CF,NA,B,4,195,3.810035
CF,NA,B,4,185,2.471215
CF,NA,B,4,175,2.26576
CF,NA,B,4,155,4.1128
CF,NA,B,4,145,2.371285
CF,NA,B,4,135,2.34129
CF,NA,B,4,125,4.01111
CF,NA,B,4,105,2.276075
CF,NA,C,1,5,7.89964
CF,NA,C,1,15,8.357705
CF,NA,C,1,25,7.96442
CF,NA,C,1,35,7.881315
CF,NA,C,1,45,8.38373
CF,NA,C,1,55,9.171365
CF,NA,C,1,65,8.71067
CF,NA,C,1,75,8.687815
CF,NA,C,1,85,8.99591
CF,NA,C,1,95,8.51232
CF,NA,C,2,5,8.153635
CF,NA,C,2,15,7.833785
CF,NA,C,2,25,6.612585
CF,NA,C,2,35,8.18715
CF,NA,C,2,45,7.288845
CF,NA,C,2,55,9.251565
CF,NA,C,2,65,8.03327
CF,NA,C,2,75,6.159545
CF,NA,C,2,85,7.226295
BEF,44B,B,1,5,2.342885
BEF,44B,B,1,15,2.45272
BEF,44B,B,1,45,0.7089
BEF,44B,B,1,55,0.2422985
BEF,44B,B,1,65,0.8919765
BEF,44B,B,1,75,0.459752
BEF,44B,B,1,85,0.692078
BEF,44B,B,1,95,0.482079
BEF,44B,B,1,15,0.4095725
BEF,44B,B,1,13,0.860834
BEF,46B,B,1,5,0.642908
BEF,46B,B,1,15,0.0180755
BEF,46B,B,1,25,0.591591
BEF,46B,B,1,35,0
BEF,46B,B,1,45,0.7295855
BEF,46B,B,2,45,0.299847
BEF,46B,B,2,35,0.390359
BEF,46B,B,2,25,0.505396
BEF,46B,B,2,15,0.7233335
BEF,46B,B,2,5,0.9834815
BEF,46B,B,3,95,0.350125
BEF,46B,B,3,85,1.494555
BEF,46B,B,3,75,1.891015
BEF,46B,B,3,65,5.655785
BEF,46B,B,3,55,2.24822
BEF,46B,B,3,45,0.8514265
BEF,46B,B,3,35,4.545815
BEF,46B,B,3,25,0.667996
BEF,46B,B,3,15,2.30859
BEF,46B,B,3,5,2.191735
BEF,46B,B,4,5,0.24039
BEF,46B,B,4,15,0.337205
BEF,46B,B,4,25,0.740626
BEF,46B,B,4,35,1.04113
BEF,46B,B,4,45,3.933695
BEF,46B,B,4,55,0.11553
BEF,46B,B,4,65,0.0631846
BEF,46B,B,4,75,6.913025
BEF,45C,C,1,5,4.38667
BEF,45C,C,1,15,3.974845
BEF,45C,C,1,25,0.2448365
BEF,45C,C,1,35,2.960635
BEF,45C,C,2,35,6.83621
BEF,45C,C,2,25,6.73917
BEF,45C,C,2,15,4.5955
BEF,45C,C,2,5,6.432085
BEF,46C,C,1,5,2.74042
BEF,46C,C,1,15,2.98175
BEF,46C,C,1,25,1.873895
BEF,46C,C,1,35,1.85198
BEF,46C,C,1,45,0.385846
