Location,Unit,Disturbance,Transect,Plot,Spcode,Count
BEF,46B,B,1,5,RUS,7
BEF,46B,B,1,5,PRPE,1
BEF,46B,B,1,5,CAR,4
BEF,46B,B,1,15,RUS,10
BEF,46B,B,1,25,RUS,12
BEF,46B,B,1,25,PRPE,2
BEF,46B,B,1,35,BEPO,1
BEF,46B,B,1,35,DEPU,2
BEF,46B,B,1,35,RUS,22
BEF,46B,B,1,35,BEPA,1
BEF,46B,B,1,45,RUS,7
BEF,46B,B,1,45,FAGR,2
BEF,46B,B,2,5,RUS,2
BEF,46B,B,2,15,RUS,1
BEF,46B,B,2,25,PRPE,2
BEF,46B,B,2,25,RUS,11
BEF,46B,B,2,35,RUS,6
BEF,46B,B,2,45,RUS,11
BEF,46C,C,1,5,PRPE,3
BEF,46C,C,1,5,RUS,15
BEF,46C,C,1,15,RUS,3
BEF,46C,C,1,15,DEPU,17
BEF,46C,C,1,15,FAGR,1
BEF,46C,C,1,35,FAGR,2
BEF,46C,C,1,35,RUS,9
BEF,46C,C,1,45,FAGR,1
BEF,46C,C,1,45,RUS,12
BEF,46B,B,3,5,RUS,2
BEF,46B,B,3,5,PRPE,9
BEF,46B,B,3,15,RUS,4
BEF,46B,B,3,25,RUS,3
BEF,46B,B,3,35,RUS,9
BEF,46B,B,3,35,FAGR,1
BEF,46B,B,3,35,BEAL,1
BEF,46B,B,3,35,DEPU,3
BEF,46B,B,3,35,PRPE,2
BEF,46B,B,3,45,RUS,20
BEF,46B,B,3,55,PRPE,2
BEF,46B,B,3,55,RUS,10
BEF,46B,B,3,55,FAGR,1
BEF,46B,B,3,65,BEAL,3
BEF,46B,B,3,65,PRPE,6
BEF,46B,B,3,65,DEPU,1
BEF,46B,B,3,65,RUS,2
BEF,46B,B,3,75,RUS,3
BEF,46B,B,3,85,RUS,20
BEF,46B,B,3,95,RUS,20
BEF,46B,B,3,95,UNK,4
BEF,46B,B,4,5,RUS,20
BEF,46B,B,4,15,RUS,20
BEF,46B,B,4,15,COS,20
BEF,46B,B,4,25,PRPE,1
BEF,46B,B,4,35,RUS,11
BEF,46B,B,4,35,ARNU,9
BEF,46B,B,4,45,RUS,9
BEF,46B,B,4,55,PRPE,1
BEF,46B,B,4,55,RUS,10
BEF,46B,B,4,55,ARNU,2
BEF,46B,B,4,55,PONO,2
BEF,46B,B,4,65,RUS,13
BEF,46B,B,4,65,ARNU,4
BEF,46B,B,4,65,CAR,1
BEF,46B,B,4,75,RUS,20
BEF,44B,B,1,5,POTR,1
BEF,44B,B,1,5,PRPE,1
BEF,44B,B,1,5,ARNU,12
BEF,44B,B,1,15,ARNU,7
BEF,44B,B,1,15,RUS,1
BEF,44B,B,1,25,PRPE,2
BEF,44B,B,1,25,ARNU,15
BEF,44B,B,1,25,RUS,1
BEF,44B,B,1,35,ARNU,20
BEF,44B,B,1,45,ARNU,10
BEF,44B,B,1,45,POGR,3
BEF,44B,B,1,45,PRPE,1
BEF,44B,B,1,55,ARNU,20
BEF,44B,B,1,65,PRPE,2
BEF,44B,B,1,65,POTR,1
BEF,44B,B,1,65,DEPU,1
BEF,44B,B,1,75,ARNU,20
BEF,44B,B,1,85,RUS,11
BEF,44B,B,1,85,ARNU,20
BEF,44B,B,1,95,PRPE,1
BEF,44B,B,1,95,ARNU,10
BEF,44B,B,1,95,RUS,1
BEF,46C,C,2,5,RUS,4
BEF,46C,C,2,15,RUS,3
BEF,46C,C,2,15,PRPE,1
BEF,46C,C,2,25,RUS,6
BEF,46C,C,2,25,DEPU,13
BEF,46C,C,2,25,BEAL,1
BEF,46C,C,2,35,RUS,8
BEF,46C,C,2,45,RUS,4
BEF,46C,C,2,45,PRPE,1
BEF,46C,C,2,55,PRPE,5
BEF,46C,C,2,55,RUS,3
BEF,46C,C,2,65,RUS,6
BEF,46C,C,2,65,PRPE,5
BEF,46C,C,2,65,DEPU,7
BEF,46C,C,2,75,RUS,12
BEF,46C,C,2,75,FAGR,2
BEF,46C,C,2,75,PRPE,1
BEF,46C,C,3,5,RUS,9
BEF,46C,C,3,5,DEPU,2
BEF,46C,C,3,15,RUS,6
BEF,46C,C,3,15,FAGR,2
BEF,46C,C,3,15,DEPU,14
BEF,46C,C,3,15,TSCA,1
BEF,46C,C,3,25,DEPU,20
BEF,46C,C,3,25,PRPE,2
BEF,46C,C,3,25,BEPA,1
BEF,46C,C,3,25,RUS,2
BEF,46C,C,3,25,FAGR,1
BEF,46C,C,3,35,RUS,20
BEF,46C,C,3,45,RUS,13
BEF,46C,C,3,45,PRPE,3
BEF,46C,C,3,45,DEPU,7
BEF,46C,C,3,55,PRPE,9
BEF,46C,C,3,55,RUS,10
BEF,46C,C,3,65,RUS,7
BEF,46C,C,3,75,RUS,20
BEF,46C,C,4,5,RUS,10
BEF,46C,C,4,15,RUS,1
BEF,46C,C,4,25,RUS,20
BEF,46C,C,4,35,RUS,20
BEF,46C,C,4,35,ARNU,3
BEF,46C,C,4,45,BEAL,1
BEF,46C,C,4,45,RUS,20
BEF,46C,C,4,55,PRPE,2
BEF,46C,C,4,55,BEAL,1
BEF,46C,C,4,55,RUS,8
BEF,46C,C,4,55,FAGR,2
BEF,46C,C,4,65,PRPE,2
BEF,46C,C,4,65,DEPU,6
BEF,46C,C,4,65,ARNU,3
BEF,46C,C,4,65,FAGR,1
BEF,46C,C,4,65,RUS,8
BEF,46C,C,1,55,RUS,20
BEF,46C,C,1,65,COS,10
BEF,46C,C,1,65,RUS,9
BEF,46C,C,1,65,PRPE,1
BEF,46C,C,1,75,RUS,10
BEF,46C,C,1,75,DEPU,6
BEF,46C,C,1,75,BEAL,2
BEF,46C,C,1,75,PRPE,2
BEF,45C,C,2,5,DEPU,20
BEF,45C,C,2,5,RUS,6
BEF,45C,C,2,5,BEAL,2
BEF,45C,C,2,15,RUS,20
BEF,45C,C,2,25,FAGR,2
BEF,45C,C,2,25,RUS,20
BEF,45C,C,2,25,PRPE,2
BEF,45C,C,2,25,BEAL,1
BEF,45C,C,2,35,RUS,20
BEF,45C,C,2,35,BEAL,2
BEF,45C,C,2,35,PRPE,1
BEF,45C,C,2,45,DEPU,11
BEF,45C,C,2,45,BEAL,1
BEF,45C,C,2,45,RUS,20
BEF,45C,C,1,5,BEAL,1
BEF,45C,C,1,5,RUS,6
BEF,45C,C,1,5,FAGR,2
BEF,45C,C,1,5,PRPE,1
BEF,45C,C,1,5,DEPU,2
BEF,45C,C,1,15,DEPU,6
BEF,45C,C,1,15,POGR,1
BEF,45C,C,1,15,RUS,13
BEF,45C,C,1,15,BEAL,2
BEF,45C,C,1,25,ARNU,4
BEF,45C,C,1,25,FAGR,1
BEF,45C,C,1,25,RUS,3
BEF,45C,C,1,25,PRPE,1
BEF,45C,C,1,35,RUS,20
BEF,45C,C,1,45,RUS,20
BEF,45C,C,1,55,BEAL,1
BEF,45C,C,1,55,RUS,20
BEF,45C,C,1,55,DEPU,3
BEF,45C,C,1,55,ACRU,1
BEF,45C,C,1,65,DEPU,20
BEF,45C,C,1,65,RUS,20
BEF,45C,C,1,65,BEAL,1
BEF,45C,C,1,65,PRPE,1
BEF,45C,C,1,75,RUS,4
BEF,45C,C,1,75,DEPU,6
CF,NA,B,1,5,FAGR,1
CF,NA,B,1,5,SARA,3
CF,NA,B,1,5,PRPE,4
CF,NA,B,1,5,RUS,4
CF,NA,B,1,15,FAGR,1
CF,NA,B,1,25,FAGR,4
CF,NA,B,1,25,PRPE,21
CF,NA,B,1,35,FAGR,4
CF,NA,B,1,35,PRPE,8
CF,NA,B,1,45,PRPE,2
CF,NA,B,1,45,RHHI,1
CF,NA,B,1,45,FAGR,1
CF,NA,B,1,45,BEAL,2
CF,NA,B,1,45,POTR,1
CF,NA,B,1,55,FAGR,2
CF,NA,B,1,55,POTR,1
CF,NA,B,1,55,PRPE,1
CF,NA,B,1,55,RUS,1
CF,NA,B,1,65,RUS,2
CF,NA,B,1,65,FAGR,1
CF,NA,B,1,65,PRPE,5
CF,NA,B,1,65,BEAL,1
CF,NA,B,1,75,PRPE,5
CF,NA,B,1,75,FAGR,2
CF,NA,B,1,85,FAGR,1
CF,NA,B,1,95,BEPA,1
CF,NA,B,1,105,COS,2
CF,NA,B,1,115,FAGR,1
CF,NA,B,1,115,RHHI,1
CF,NA,B,1,125,RHHI,9
CF,NA,B,1,125,PRPE,4
CF,NA,B,1,125,COS,1
CF,NA,B,1,135,BEAL,4
CF,NA,B,1,135,UNK,1
CF,NA,B,1,145,FAGR,1
CF,NA,B,1,165,FAGR,2
CF,NA,B,1,165,PRPE,1
CF,NA,B,1,185,FAGR,6
CF,NA,B,2,5,FAGR,1
CF,NA,B,2,5,BEAL,1
CF,NA,B,2,25,PRPE,2
CF,NA,B,2,25,RHHI,3
CF,NA,B,2,25,RUS,1
CF,NA,B,2,25,FAGR,4
CF,NA,B,2,35,PRPE,1
CF,NA,B,2,35,FAGR,6
CF,NA,B,3,5,COS,1
CF,NA,B,3,5,RHHI,5
CF,NA,B,3,5,RUS,1
CF,NA,B,3,15,FAGR,2
CF,NA,B,3,15,RHHI,6
CF,NA,B,3,15,UNK,17
CF,NA,B,3,25,UNK,3
CF,NA,B,3,25,FAGR,3
CF,NA,B,3,45,FAGR,1
CF,NA,B,3,55,BEAL,2
CF,NA,B,3,55,FAGR,1
CF,NA,B,3,55,MACA,1
CF,NA,B,3,65,RUS,2
CF,NA,B,3,65,FAGR,2
CF,NA,B,3,65,RHHI,1
CF,NA,B,3,75,RUS,1
CF,NA,B,3,75,BEAL,1
CF,NA,B,4,5,FAGR,10
CF,NA,B,4,5,ACRU,1
CF,NA,B,4,5,BEPA,1
CF,NA,B,4,15,FAGR,3
CF,NA,B,4,25,RHHI,2
CF,NA,B,4,25,BEPO,3
CF,NA,B,4,25,BEPA,1
CF,NA,B,4,35,FAGR,4
CF,NA,B,4,35,RHHI,2
CF,NA,B,4,45,RUS,1
CF,NA,B,4,55,RUS,1
CF,NA,B,4,55,RHHI,2
CF,NA,B,4,55,BEPO,2
CF,NA,B,4,55,FAGR,2
CF,NA,B,4,65,FAGR,8
CF,NA,B,4,65,CASE,3
CF,NA,B,4,65,SARA,1
CF,NA,B,4,75,RUS,1
CF,NA,B,4,95,FRAM,2
CF,NA,B,4,95,BEPO,1
CF,NA,B,4,95,CASE,1
CF,NA,C,1,15,FAGR,2
CF,NA,C,2,35,FAGR,1
CF,NA,C,2,45,FAGR,1
CF,NA,C,2,85,OSVI,1
HOG,20/2,B,1,5,BEAL,6
HOG,20/2,B,1,5,ACRU,12
HOG,20/2,B,1,5,MACA,20
HOG,20/2,B,1,5,RUS,2
HOG,20/2,B,1,5,CAR,1
HOG,20/2,B,1,5,UNK,1
HOG,20/2,B,1,5,BEPA,1
HOG,20/2,B,1,5,FRAM,9
HOG,20/2,B,1,15,FAGR,1
HOG,20/2,B,1,15,ACRU,4
HOG,20/2,B,1,15,TRBO,3
HOG,20/2,B,1,15,MACA,10
HOG,20/2,B,1,15,UVSE,7
HOG,20/2,B,1,15,RUS,1
HOG,20/2,B,1,15,CAR,3
HOG,20/2,B,1,25,ACPE,1
HOG,20/2,B,1,25,FAGR,1
HOG,20/2,B,1,25,UVSE,20
