Location,Unit,Disturbance,Transect,Plot_dist_m,delta15N,delta13C,Cnratio
HOG,20/2,B,1,95,-0.05,-31.85,22.86
HOG,20/2,B,3,55,-2.66,-31.38,22.43
SB,3/16,B,5,145,-1.82,-34.17,22.03
SB,3/16,B,1,175,-2.47,-31.80,22.01
HOG,20/2,B,2,35,-0.65,-32.72,20.57
SB,3/16,B,3,15,-0.99,-32.82,27.82
SB,3/16,B,5,15,-1.56,-33.36,23.15
SB,3/16,B,3,45,-0.58,-33.63,20.53
SB,3/16,B,5,35,-3.65,-32.72,25.67
HOG,20/2,B,2,5,-1.47,-33.89,23.09
SB,3/16,B,1,105,-2.31,-32.12,18.75
SB,3/16,B,1,25,-1.33,-31.74,19.58
HOG,28/2,B,2,85,-2.28,-31.62,28.62
HOG,28/2,B,1,65,-2.13,-31.76,26.84
SB,3/16,B,2,85,-1.12,-32.98,20.27
SB,3/16,B,1,45,-1.15,-32.54,20.85
HOG,28/2,B,2,95,-2.15,-31.43,21.28
SB,3/16,B,5,115,-1.96,-34.46,23.65
SB,3/16,B,1,115,-2.37,-32.46,22.45
HOG,28/2,B,3,65,-2.82,-32.03,24.69
HOG,20/2,B,4,55,-2.51,-33.96,20.10
SB,3/16,B,1,145,-2.18,-34.08,24.93
SB,3/16,B,5,175,-2.18,-33.62,24.37
SB,3/16,B,5,155,-2.25,-33.04,34.55
SB,3/16,B,2,55,-1.91,-32.30,19.66
SB,3/16,B,4,15,-0.19,-34.97,17.11
SB,3/16,B,5,135,-2.67,-33.85,23.25
SB,3/16,B,1,205,-1.78,-31.26,19.81
HOG,28/2,B,1,25,-0.58,-32.34,24.07
HOG,28/2,B,1,85,-2.16,-32.10,18.94
SB,3/16,B,5,115,-1.73,-34.03,22.13
HOG,28/2,B,3,15,-1.53,-30.54,18.28
HOG,20/2,B,3,15,-1.01,-32.99,25.15
HOG,28/2,B,1,5,-0.45,-33.63,19.63
SB,3/16,B,1,135,-0.30,-32.96,21.09
HOG,28/2,B,1,45,-0.09,-31.94,27.32
SB,3/16,B,1,95,-1.84,-33.43,20.25
HOG,28/2,B,1,35,-0.14,-31.30,21.95
SB,3/16,B,5,55,-1.21,-32.67,24.81
HOG,20/2,B,1,45,-1.55,-31.71,24.99
SB,3/16,B,5,205,-1.08,-33.89,29.92
SB,3/16,B,1,185,-2.64,-32.03,25.38
SB,3/16,B,2,95,-3.64,-32.28,23.43
HOG,28/2,B,3,35,-0.92,-31.37,30.38
HOG,20/2,B,4,45,-1.68,-30.80,22.39
SB,3/16,B,1,225,-2.16,-32.92,22.31
HOG,20/2,B,3,25,-1.05,-30.95,22.28
HOG,12/2,C,4,45,-2.87,-34.02,24.93
SB,5/15,C,2,50,-3.89,-35.91,20.84
HOG,3/1,C,3,75,-3.12,-32.54,25.95
HOG,12/2,C,5,105,-1.09,-34.83,25.56
HOG,12/2,C,5,65,-0.62,-32.71,19.59
HOG,12/2,C,6,50,-1.43,-34.54,26.43
HOG,12/2,C,6,15,-2.11,-35.84,22.44
HOG,12/2,C,2,5,-3.52,-35.14,19.71
HOG,3/1,C,1,95,-1.73,-34.88,24.53
HOG,3/1,C,2,65,-1.84,-34.58,22.67
HOG,12/2,C,1,25,-2.26,-34.67,20.56
HOG,3/1,C,3,85,-2.17,-33.22,24.06
HOG,12/2,C,3,35,-3.80,-35.15,25.33
HOG,12/2,C,3,45,-1.79,-32.16,25.25
HOG,12/2,C,3,25,-3.05,-34.26,20.65
HOG,3/1,C,2,25,-1.38,-32.64,20.88
HOG,12/2,C,2,35,-2.25,-34.63,25.62
HOG,3/1,C,2,35,-3.85,-34.64,24.75
