Location,Unit,Disturbance,Transect,Plot,OAKcount
Bartlett Experimental Forest,46B,B,1,15,0
Bartlett Experimental Forest,46B,B,1,25,0
Bartlett Experimental Forest,46B,B,1,35,0
Bartlett Experimental Forest,46B,B,1,45,0
Bartlett Experimental Forest,46B,B,1,5,0
Bartlett Experimental Forest,46B,B,2,15,0
Bartlett Experimental Forest,46B,B,2,25,0
Bartlett Experimental Forest,46B,B,2,35,0
Bartlett Experimental Forest,46B,B,2,45,0
Bartlett Experimental Forest,46B,B,2,5,0
Bartlett Experimental Forest,46C,C,1,15,0
Bartlett Experimental Forest,46C,C,1,25,0
Bartlett Experimental Forest,46C,C,1,35,0
Bartlett Experimental Forest,46C,C,1,45,0
Bartlett Experimental Forest,46C,C,1,5,0
Bartlett Experimental Forest,46B,B,3,15,0
Bartlett Experimental Forest,46B,B,3,25,0
Bartlett Experimental Forest,46B,B,3,35,0
Bartlett Experimental Forest,46B,B,3,45,0
Bartlett Experimental Forest,46B,B,3,5,0
Bartlett Experimental Forest,46B,B,3,55,0
Bartlett Experimental Forest,46B,B,3,65,0
Bartlett Experimental Forest,46B,B,3,75,0
Bartlett Experimental Forest,46B,B,3,85,0
Bartlett Experimental Forest,46B,B,3,95,0
Bartlett Experimental Forest,46B,B,4,15,0
Bartlett Experimental Forest,46B,B,4,25,0
Bartlett Experimental Forest,46B,B,4,35,0
Bartlett Experimental Forest,46B,B,4,45,0
Bartlett Experimental Forest,46B,B,4,5,0
Bartlett Experimental Forest,44B,B,1,15,0
Bartlett Experimental Forest,44B,B,1,25,0
Bartlett Experimental Forest,44B,B,1,35,0
Bartlett Experimental Forest,44B,B,1,45,0
Bartlett Experimental Forest,44B,B,1,5,0
Bartlett Experimental Forest,44B,B,1,55,0
Bartlett Experimental Forest,44B,B,1,65,0
Bartlett Experimental Forest,44B,B,1,75,0
Bartlett Experimental Forest,44B,B,1,85,0
Bartlett Experimental Forest,44B,B,1,95,0
Bartlett Experimental Forest,46B,B,4,55,0
Bartlett Experimental Forest,46B,B,4,65,0
Bartlett Experimental Forest,46B,B,4,75,0
Bartlett Experimental Forest,46C,C,2,15,0
Bartlett Experimental Forest,46C,C,2,25,0
Bartlett Experimental Forest,46C,C,2,35,0
Bartlett Experimental Forest,46C,C,2,45,0
Bartlett Experimental Forest,46C,C,2,5,0
Bartlett Experimental Forest,46C,C,2,55,0
Bartlett Experimental Forest,46C,C,2,65,0
Bartlett Experimental Forest,46C,C,2,75,0
Bartlett Experimental Forest,46C,C,1,55,0
Bartlett Experimental Forest,46C,C,1,65,0
Bartlett Experimental Forest,46C,C,1,75,0
Bartlett Experimental Forest,46C,C,3,15,0
Bartlett Experimental Forest,46C,C,3,25,0
Bartlett Experimental Forest,46C,C,3,35,0
Bartlett Experimental Forest,46C,C,3,45,0
Bartlett Experimental Forest,46C,C,3,5,0
Bartlett Experimental Forest,46C,C,3,55,0
Bartlett Experimental Forest,46C,C,3,65,0
Bartlett Experimental Forest,46C,C,3,75,0
Bartlett Experimental Forest,46C,C,4,15,0
Bartlett Experimental Forest,46C,C,4,25,0
Bartlett Experimental Forest,46C,C,4,35,0
Bartlett Experimental Forest,46C,C,4,45,0
Bartlett Experimental Forest,46C,C,4,5,0
Bartlett Experimental Forest,46C,C,4,55,0
Bartlett Experimental Forest,46C,C,4,65,0
Bartlett Experimental Forest,46C,C,4,75,0
Bartlett Experimental Forest,45C,C,1,15,0
Bartlett Experimental Forest,45C,C,1,25,0
Bartlett Experimental Forest,45C,C,1,35,0
Bartlett Experimental Forest,45C,C,1,45,0
Bartlett Experimental Forest,45C,C,1,5,0
