Year,Location,Unit,Disturbance,Transect,Plot,Tag,Age,Height_cm,DRC_mm,herbivory_pct,Pathogen_damage_pct,nlive_branches,ndead_branches
2023,Crawford Notch State Park,NA,B,1,105,1,2,10,2.5,1,0,,
2023,Crawford Notch State Park,NA,B,3,25,1,2,12.5,2.73,1,1,,
2023,Crawford Notch State Park,NA,B,3,45,1,3,7,1.05,1,0,,
2023,Hogsback (Blueberry Mountain),12/2,C,1,5,1,5,23,3.11,1,1,2,1
2023,Hogsback (Blueberry Mountain),12/2,C,2,5,1,7,29,6.26,1,1,2,0
2023,Hogsback (Blueberry Mountain),12/2,C,2,5,2,6,20,3.63,1,1,2,1
2023,Hogsback (Blueberry Mountain),12/2,C,3,25,1,3,14,3.41,1,1,1,1
2023,Hogsback (Blueberry Mountain),12/2,C,3,35,1,6,22.5,2.54,1,1,2,2
2023,Hogsback (Blueberry Mountain),12/2,C,3,35,2,5,18,2.79,1,1,2,2
2023,Hogsback (Blueberry Mountain),12/2,C,3,35,3,4,26.5,3.01,1,1,1,0
2023,Hogsback (Blueberry Mountain),12/2,C,3,35,4,3,13,1.97,1,1,1,2
2023,Hogsback (Blueberry Mountain),12/2,C,3,35,5,4,14,2.9,1,1,1,1
2023,Hogsback (Blueberry Mountain),12/2,C,3,35,6,4,15,1.93,1,1,1,1
2023,Hogsback (Blueberry Mountain),12/2,C,3,35,7,8,47,7.48,1,1,1,1
2023,Hogsback (Blueberry Mountain),12/2,C,3,35,8,4,16,4.35,1,1,1,3
2023,Hogsback (Blueberry Mountain),12/2,C,3,45,1,3,15,2.28,1,1,1,0
2023,Hogsback (Blueberry Mountain),12/2,C,3,45,2,2,17.5,3.55,1,1,1,0
2023,Hogsback (Blueberry Mountain),12/2,C,3,45,3,4,13,3.71,1,1,2,1
2023,Hogsback (Blueberry Mountain),12/2,C,4,45,1,4,14,2.45,1,1,1,1
2023,Hogsback (Blueberry Mountain),12/2,C,4,45,2,3,11.5,2.19,1,1,2,0
2023,Hogsback (Blueberry Mountain),12/2,C,4,45,3,5,17,4.04,1,1,4,2
2023,Hogsback (Blueberry Mountain),12/2,C,4,55,1,6,13,1.66,1,0,1,1
2023,Hogsback (Blueberry Mountain),12/2,C,4,55,2,2,8,1.14,1,0,1,0
2023,Hogsback (Blueberry Mountain),12/2,C,4,85,1,4,11,2.14,1,0,1,0
2023,Hogsback (Blueberry Mountain),12/2,C,4,85,2,4,8.5,2.23,0,0,1,1
2023,Hogsback (Blueberry Mountain),12/2,C,5,105,1,5,22.8,3.47,1,0,1,1
2023,Hogsback (Blueberry Mountain),12/2,C,5,105,2,5,18.3,2.36,1,0,2,0
2023,Hogsback (Blueberry Mountain),12/2,C,5,105,3,5,13.4,2.6,0,0,1,3
2023,Hogsback (Blueberry Mountain),12/2,C,5,65,1,10,184,17.37,1,1,,
