Year,Survey,Location,Unit,Disturbance,Transect,Plot,Tag,Height_cm,Extension_growth_cm,DRC_mm,nleaves,nlive_branches,ndead_branches,herbivory_pct,Pathogen_damage_pct
2024,1,HOG,12/2,C,1,25,1,14,3.6,4.07,6,2,3,10,8
2024,1,HOG,12/2,C,1,25,2,17.9,1.8,3.25,6,1,2,25,5
2024,1,HOG,12/2,C,1,5,1,22,1.5,2.65,6,2,1,15,2
2024,1,HOG,12/2,C,2,35,1,16,0.3,2.08,3,1,0,5,0
2024,1,HOG,12/2,C,2,35,2,12.5,0.8,1.82,3,1,1,0,1
2024,1,HOG,12/2,C,2,35,3,12.3,0.9,1.66,3,1,0,2,2
2024,1,HOG,12/2,C,2,35,4,7.7,0.5,1.61,2,1,1,0,0
2024,1,HOG,12/2,C,2,5,1,26.9,0.5,4.06,6,2,2,0,0
2024,1,HOG,12/2,C,2,5,2,24.6,1.3,3.93,6,2,2,10,20
2024,1,HOG,12/2,C,3,25,1,13.2,1.1,3.38,5,3,1,20,0
2024,1,HOG,12/2,C,3,35,1,18,1.6,2.9,7,2,2,0,10
2024,1,HOG,12/2,C,3,35,2,15.7,1.9,1.91,4,1,2,2,5
2024,1,HOG,12/2,C,3,35,3,23.2,3.9,2.1,4,1,1,1,2
2024,1,HOG,12/2,C,3,35,4,14.3,0.5,2.28,3,1,1,2,0
2024,1,HOG,12/2,C,3,35,5,18.1,1.7,2.2,4,1,1,0,25
2024,1,HOG,12/2,C,3,35,6,15.5,2.8,2.39,3,1,0,0,2
2024,1,HOG,12/2,C,3,35,7,51.2,11.3,5.43,10,2,1,2,10
2024,1,HOG,12/2,C,3,35,8,14.5,1.4,2.34,3,1,2,0,5
2024,1,HOG,12/2,C,3,45,1,11.5,2,3.03,7,1,0,2,15
2024,1,HOG,12/2,C,3,45,2,15.5,5.7,3.87,6,2,1,15,5
2024,1,HOG,12/2,C,3,45,3,12.3,6.5,2.9,4,1,1,2,0
2024,1,HOG,12/2,C,4,45,1,17,1.3,1.94,3,1,1,15,10
2024,1,HOG,12/2,C,4,45,2,11.3,5.4,2.2,3,1,2,40,0
2024,1,HOG,12/2,C,4,45,3,19.6,1,3.58,10,3,7,10,20
2024,1,HOG,12/2,C,4,55,1,15.2,0.9,2.59,4,1,1,35,3
2024,1,HOG,12/2,C,4,85,1,,,,,,,,
2024,1,HOG,12/2,C,4,85,2,8.1,1,2.56,3,1,1,5,1
2024,1,HOG,12/2,C,5,105,1,21.8,1.8,3.8,3,1,1,15,10
2024,1,HOG,12/2,C,5,105,2,17.1,1,2.54,4,1,2,2,2
2024,1,HOG,12/2,C,5,105,3,13.6,0.8,2.11,4,1,1,0,1
2024,1,HOG,12/2,C,5,65,1,225,40.3,22.55,100,9,4,20,8
2024,1,HOG,12/2,C,6,15,1,19.7,3.5,3.24,8,2,0,12.5,1
2024,1,HOG,12/2,C,6,15,2,20.3,2.7,2.5,6,2,2,5,2
2024,1,HOG,12/2,C,6,15,3,28.2,1.5,4.69,3,1,3,20,1
2024,1,HOG,12/2,C,6,45,1,22.4,0.4,2.68,4,1,1,0,1
2024,1,HOG,12/2,C,6,45,2,7.3,1.1,3.04,4,1,2,5,3
2024,1,HOG,12/2,C,6,45,3,7.7,0.3,1.54,3,1,1,0,3
2024,1,HOG,12/2,C,6,5,1,,,,,,,,
2024,1,HOG,20/2,B,1,35,1,21.4,3.8,8.52,11,2,1,2,15
2024,1,HOG,20/2,B,1,45,1,81.5,19.8,12.17,17,9,5,10,25
2024,1,HOG,20/2,B,1,95,1,23.8,6,7.75,11,2,1,15,35
2024,1,HOG,20/2,B,2,35,1,44.7,11.4,8.03,11,2,1,0,10
2024,1,HOG,20/2,B,2,5,1,25.7,3.2,3,4,1,1,2,5
2024,1,HOG,20/2,B,3,15,1,56.3,23.4,6.92,20,3,2,10,10
2024,1,HOG,20/2,B,3,25,1,128.3,29.4,15.06,85,3,5,20,40
2024,1,HOG,20/2,B,3,55,1,127.2,23.3,10.19,100,6,11,5,12
2024,1,HOG,20/2,B,3,55,2,10.1,1.7,2.54,7,2,2,20,30
2024,1,HOG,20/2,B,4,45,1,,,,,,,,
2024,1,HOG,20/2,B,4,45,2,62.1,13.7,6.87,53,11,0,2,10
2024,1,HOG,20/2,B,4,45,3,17.6,2.5,2.41,8,1,3,1,2
2024,1,HOG,20/2,B,4,55,1,23.8,2.3,3.74,13,2,0,0,1
2024,1,HOG,20/2,B,4,55,2,12.7,1.7,1.7,2,1,1,0,0
2024,1,HOG,28/2,B,1,25,1,16.5,3.7,6.11,6,3,1,5,3
2024,1,HOG,28/2,B,1,25,2,14.5,1.1,5.97,4,1,3,75,10
2024,1,HOG,28/2,B,1,25,3,16.8,7.8,8.58,16,5,2,2,3
2024,1,HOG,28/2,B,1,25,4,16.5,4.3,3.07,16,4,1,2,20
2024,1,HOG,28/2,B,1,25,5,7.8,1.8,1.54,3,1,2,1,0
2024,1,HOG,28/2,B,1,35,1,15.5,2,4.07,11,2,1,10,4
2024,1,HOG,28/2,B,1,35,2,10.8,2.1,2.09,3,1,1,10,5
2024,1,HOG,28/2,B,1,45,1,10.5,2.9,4.75,7,2,1,2,2
2024,1,HOG,28/2,B,1,45,2,10.8,2.7,6,5,1,3,15,5
2024,1,HOG,28/2,B,1,45,3,10,3,2.46,5,3,1,5,0
2024,1,HOG,28/2,B,1,45,4,,,,,,,,
2024,1,HOG,28/2,B,1,45,5,12,2.7,3.39,2,1,4,85,0
2024,1,HOG,28/2,B,1,5,1,54.5,21,8.69,16,3,1,8,60
2024,1,HOG,28/2,B,1,65,1,14.5,1.3,3.15,4,1,4,0,2
2024,1,HOG,28/2,B,1,65,2,11,1.2,1.38,5,2,0,2,0
2024,1,HOG,28/2,B,1,85,1,263,33,20.64,100,20,10,10,15
2024,1,HOG,28/2,B,1,85,2,113,24.2,10.33,37,4,0,15,8
2024,1,HOG,28/2,B,2,65,1,11.9,0.8,1.02,6,2,0,0,35
2024,1,HOG,28/2,B,2,85,1,10,4,4.65,7,3,2,10,0
2024,1,HOG,28/2,B,2,85,2,8,0.8,4.32,5,1,0,2,2
2024,1,HOG,28/2,B,2,85,3,10.4,6.2,2.66,4,1,2,0,0
2024,1,HOG,28/2,B,2,85,4,7.8,1.6,1.4,5,2,1,4,2
2024,1,HOG,28/2,B,2,85,5,8,0.7,3.52,2,1,2,0,0
2024,1,HOG,28/2,B,2,85,6,5.4,0,3.76,2,1,1,0,2
2024,1,HOG,28/2,B,2,85,7,14.4,4.1,3.88,13,3,3,35,20
2024,1,HOG,28/2,B,2,85,8,10.5,2.4,5.17,4,1,1,2,7
2024,1,HOG,28/2,B,2,85,9,10.4,0.7,2.82,6,2,1,10,2
2024,1,HOG,28/2,B,2,85,10,11,0.5,2.18,4,1,1,2,8
2024,1,HOG,28/2,B,2,95,1,34,29,4.37,8,2,4,15,5
2024,1,HOG,28/2,B,2,95,2,84.5,10.5,9.54,59,11,4,15,15
2024,1,HOG,28/2,B,2,95,3,55,7,6.64,30,4,2,8,5
2024,1,HOG,28/2,B,3,15,1,110,36,8.87,71,6,4,15,5
2024,1,HOG,28/2,B,3,35,1,39.9,5.5,3.95,11,2,1,2,5
2024,1,HOG,28/2,B,3,65,1,13.5,4,0.86,12,2,2,2,5
2024,1,HOG,3/1,C,1,95,1,14.3,0.8,2.59,5,2,0,20,5
2024,1,HOG,3/1,C,1,95,2,12,1.8,1.77,3,1,2,0,0
2024,1,HOG,3/1,C,2,25,1,6.5,0.6,2.29,3,1,1,0,0
2024,1,HOG,3/1,C,2,25,2,11.1,1.3,2.91,5,2,1,20,0
