Location,Unit,Disturbance,Transect,Plot,Spcode,Condition,DBH (cm)
Bartlett Experimental Forest,44B,B,1,25,PRPE,1,2.3
Bartlett Experimental Forest,44B,B,1,25,PRPE,1,2.5
Bartlett Experimental Forest,44B,B,1,25,PRPE,1,2.7
Bartlett Experimental Forest,44B,B,1,25,PRPE,1,2
Bartlett Experimental Forest,44B,B,1,25,POTR,1,2.3
Bartlett Experimental Forest,44B,B,1,25,PRPE,1,2.4
Bartlett Experimental Forest,44B,B,1,25,PRPE,1,2.3
Bartlett Experimental Forest,44B,B,1,25,POTR,1,2.5
Bartlett Experimental Forest,44B,B,1,35,PRPE,1,2.2
Bartlett Experimental Forest,44B,B,1,45,FAGR,0,5.5
Bartlett Experimental Forest,44B,B,1,45,FAGR,0,9
Bartlett Experimental Forest,44B,B,1,45,FAGR,0,4
Bartlett Experimental Forest,44B,B,1,45,PRPE,1,2
Bartlett Experimental Forest,44B,B,1,45,FAGR,0,2.9
Bartlett Experimental Forest,44B,B,1,45,FAGR,0,2.5
Bartlett Experimental Forest,44B,B,1,5,POTR,1,2.2
Bartlett Experimental Forest,44B,B,1,5,POTR,1,2
Bartlett Experimental Forest,44B,B,1,5,POTR,1,2.2
Bartlett Experimental Forest,44B,B,1,55,FAGR,0,6.4
Bartlett Experimental Forest,44B,B,1,55,FAGR,0,3.7
Bartlett Experimental Forest,44B,B,1,65,PRPE,1,2.3
Bartlett Experimental Forest,44B,B,1,65,PRPE,1,2.5
Bartlett Experimental Forest,44B,B,1,65,PRPE,1,2.5
Bartlett Experimental Forest,44B,B,1,65,PRPE,1,2.2
Bartlett Experimental Forest,44B,B,1,65,PIRU,0,4.9
Bartlett Experimental Forest,44B,B,1,65,PRPE,1,3
Bartlett Experimental Forest,44B,B,1,65,PRPE,1,2.1
Bartlett Experimental Forest,44B,B,1,65,FAGR,0,5
Bartlett Experimental Forest,44B,B,1,65,FAGR,0,2.2
Bartlett Experimental Forest,44B,B,1,65,PRPE,1,2.9
Bartlett Experimental Forest,44B,B,1,65,FAGR,0,2.6
Bartlett Experimental Forest,44B,B,1,75,FAGR,0,3.2
Bartlett Experimental Forest,44B,B,1,75,PRPE,1,2.3
Bartlett Experimental Forest,44B,B,1,75,PRPE,1,2.4
Bartlett Experimental Forest,44B,B,1,75,PRPE,1,2.5
Bartlett Experimental Forest,44B,B,1,75,PRPE,1,2.1
Bartlett Experimental Forest,44B,B,1,75,FAGR,0,2.1
Bartlett Experimental Forest,44B,B,1,75,PRPE,1,2
Bartlett Experimental Forest,44B,B,1,85,FAGR,0,2.3
Bartlett Experimental Forest,44B,B,1,85,PRPE,1,3.6
Bartlett Experimental Forest,44B,B,1,85,PRPE,1,2.5
Bartlett Experimental Forest,44B,B,1,85,PRPE,1,2.4
Bartlett Experimental Forest,44B,B,1,95,PRPE,1,2.7
Bartlett Experimental Forest,44B,B,1,95,PRPE,1,2.3
Bartlett Experimental Forest,44B,B,1,95,PRPE,1,2
Bartlett Experimental Forest,44B,B,1,95,PRPE,1,2.1
Bartlett Experimental Forest,44B,B,1,95,PRPE,1,2.4
Bartlett Experimental Forest,44B,B,1,95,PRPE,1,2.1
Bartlett Experimental Forest,44B,B,1,95,PRPE,1,2.4
Bartlett Experimental Forest,45C,C,1,15,POTR,1,3.5
Bartlett Experimental Forest,45C,C,1,25,PRPE,1,2.6
Bartlett Experimental Forest,45C,C,1,25,FAGR,0,5
Bartlett Experimental Forest,45C,C,1,25,FAGR,1,4
Bartlett Experimental Forest,45C,C,1,45,ACRU,1,2.5
Bartlett Experimental Forest,45C,C,1,45,ACRU,1,2.2
Bartlett Experimental Forest,45C,C,1,45,ACRU,1,2.8
Bartlett Experimental Forest,45C,C,1,45,ACRU,1,2.2
Bartlett Experimental Forest,45C,C,1,45,ACRU,1,2.3
Bartlett Experimental Forest,45C,C,1,45,ACRU,1,2.3
Bartlett Experimental Forest,45C,C,1,45,PRPE,1,3.8
Bartlett Experimental Forest,45C,C,1,5,POTR,1,2.2
Bartlett Experimental Forest,45C,C,1,5,PRPE,1,2
Bartlett Experimental Forest,45C,C,1,5,POTR,1,2.6
Bartlett Experimental Forest,45C,C,1,5,ACRU,1,2.2
Bartlett Experimental Forest,45C,C,1,5,POTR,1,2
Bartlett Experimental Forest,45C,C,1,5,ACRU,1,2.2
Bartlett Experimental Forest,45C,C,1,5,POTR,1,2.1
Bartlett Experimental Forest,45C,C,1,5,POTR,1,2.8
Bartlett Experimental Forest,45C,C,1,5,POTR,1,3
Bartlett Experimental Forest,45C,C,1,5,POTR,1,2.1
Bartlett Experimental Forest,45C,C,1,5,POTR,1,2.6
Bartlett Experimental Forest,45C,C,1,5,POTR,1,5.1
Bartlett Experimental Forest,45C,C,1,55,FAGR,1,4.4
Bartlett Experimental Forest,45C,C,1,55,FAGR,1,5.8
Bartlett Experimental Forest,45C,C,1,55,FAGR,1,7.2
Bartlett Experimental Forest,45C,C,1,55,FAGR,1,7.5
Bartlett Experimental Forest,45C,C,1,55,FAGR,1,9.9
Bartlett Experimental Forest,45C,C,1,55,FAGR,1,2.6
Bartlett Experimental Forest,45C,C,1,65,FAGR,1,4
Bartlett Experimental Forest,45C,C,1,65,UNK,1,2.3
Bartlett Experimental Forest,45C,C,1,65,UNK,1,2.4
Bartlett Experimental Forest,45C,C,1,75,PRPE,1,3
Bartlett Experimental Forest,45C,C,1,75,PRPE,1,3.4
Bartlett Experimental Forest,45C,C,1,75,PRPE,1,3
Bartlett Experimental Forest,45C,C,1,75,PRPE,1,2.8
Bartlett Experimental Forest,45C,C,1,75,PRPE,1,2.7
Bartlett Experimental Forest,45C,C,2,25,FAGR,0,4
Bartlett Experimental Forest,45C,C,2,35,FAGR,1,3
Bartlett Experimental Forest,45C,C,2,35,FAGR,1,11.7
Bartlett Experimental Forest,45C,C,2,35,PRPE,1,2.4
Bartlett Experimental Forest,45C,C,2,35,PRPE,1,2.4
Bartlett Experimental Forest,45C,C,2,35,PRPE,1,2.8
Bartlett Experimental Forest,45C,C,2,35,PRPE,1,3.1
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,2.3
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,3.9
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,2.8
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,3.3
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,2
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,3.5
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,2.5
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,2.1
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,2.4
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,2.8
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,3.4
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,2.6
Bartlett Experimental Forest,45C,C,2,5,POGR,1,2.9
Bartlett Experimental Forest,45C,C,2,5,PRPE,1,2.5
Bartlett Experimental Forest,46B,B,1,45,FAGR,1,2.2
Bartlett Experimental Forest,46B,B,1,5,FAGR,0,2
Bartlett Experimental Forest,46B,B,1,5,FAGR,0,2.1
Bartlett Experimental Forest,46B,B,1,5,BEAL,0,0.8
Bartlett Experimental Forest,46B,B,1,5,BEAL,0,4.1
Bartlett Experimental Forest,46B,B,1,5,PRPE,1,2
Bartlett Experimental Forest,46B,B,1,5,FAGR,0,3
Bartlett Experimental Forest,46B,B,1,5,FAGR,0,3.1
Bartlett Experimental Forest,46B,B,1,5,FAGR,0,7.5
Bartlett Experimental Forest,46B,B,1,5,FAGR,0,5
Bartlett Experimental Forest,46B,B,1,5,BEAL,0,4.2
Bartlett Experimental Forest,46B,B,1,5,BEAL,0,3.4
Bartlett Experimental Forest,46B,B,1,5,FAGR,0,2.7
Bartlett Experimental Forest,46B,B,1,5,FAGR,0,2.8
Bartlett Experimental Forest,46B,B,1,5,FAGR,0,2.8
Bartlett Experimental Forest,46B,B,1,5,FAGR,0,2.4
Bartlett Experimental Forest,46B,B,1,5,FAGR,0,2.3
Bartlett Experimental Forest,46B,B,1,5,PRPE,1,2.5
Bartlett Experimental Forest,46B,B,2,15,PRPE,1,2.6
Bartlett Experimental Forest,46B,B,2,15,PRPE,1,2.9
Bartlett Experimental Forest,46B,B,2,15,PRPE,1,2.5
Bartlett Experimental Forest,46B,B,2,15,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,2,15,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,2,15,PRPE,1,2
Bartlett Experimental Forest,46B,B,2,15,PRPE,1,3
Bartlett Experimental Forest,46B,B,2,15,PRPE,1,2.9
Bartlett Experimental Forest,46B,B,2,25,FAGR,0,6.8
Bartlett Experimental Forest,46B,B,2,25,FAGR,0,3.7
Bartlett Experimental Forest,46B,B,2,25,FAGR,0,3.3
Bartlett Experimental Forest,46B,B,2,25,FAGR,0,3.7
Bartlett Experimental Forest,46B,B,2,35,PRPE,1,2.9
Bartlett Experimental Forest,46B,B,2,35,PRPE,1,3.2
Bartlett Experimental Forest,46B,B,2,35,PRPE,1,2.5
Bartlett Experimental Forest,46B,B,2,35,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,2,35,PRPE,1,2.5
Bartlett Experimental Forest,46B,B,2,35,PRPE,1,2.6
Bartlett Experimental Forest,46B,B,2,35,FAGR,0,7
Bartlett Experimental Forest,46B,B,2,35,FAGR,0,5.9
Bartlett Experimental Forest,46B,B,2,35,FAGR,0,5.8
Bartlett Experimental Forest,46B,B,2,45,PRPE,1,7.2
Bartlett Experimental Forest,46B,B,2,45,FAGR,1,4.9
Bartlett Experimental Forest,46B,B,2,45,FAGR,0,5
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.5
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.4
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.9
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.7
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.1
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.3
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.8
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.3
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.4
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.1
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.8
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.1
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.1
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,4
Bartlett Experimental Forest,46B,B,2,5,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,3,15,PRPE,1,3.5
Bartlett Experimental Forest,46B,B,3,15,PRPE,1,2
Bartlett Experimental Forest,46B,B,3,15,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,3,15,PRPE,1,2.1
Bartlett Experimental Forest,46B,B,3,15,PRPE,1,2.2
Bartlett Experimental Forest,46B,B,3,15,PRPE,1,2.9
Bartlett Experimental Forest,46B,B,3,25,PRPE,1,2.4
Bartlett Experimental Forest,46B,B,3,25,FAGR,0,3.2
Bartlett Experimental Forest,46B,B,3,25,PRPE,1,2.3
Bartlett Experimental Forest,46B,B,3,25,PRPE,1,2.5
Bartlett Experimental Forest,46B,B,3,25,PRPE,1,2.3
Bartlett Experimental Forest,46B,B,3,35,FAGR,0,4.5
Bartlett Experimental Forest,46B,B,3,35,FAGR,0,2.4
Bartlett Experimental Forest,46B,B,3,35,FAGR,0,2.8
Bartlett Experimental Forest,46B,B,3,35,FAGR,0,4.2
Bartlett Experimental Forest,46B,B,3,45,PRPE,1,2.9
Bartlett Experimental Forest,46B,B,3,5,PRPE,1,3
Bartlett Experimental Forest,46B,B,3,5,PRPE,1,2.8
