Location,Unit,Disturbance,Tag,No_structure,Blue_hyphae,Vesicles,Coils,Arbuscules
HOG,12/2,C,7,100,,,,
HOG,12/2,C,9,98,,2,,
HOG,12/2,C,1,100,,,,
HOG,12/2,C,2,85,3,,,
HOG,12/2,C,6,100,,,,
HOG,12/2,C,3,39,61,,,
HOG,12/2,C,4,98,2,,,1
HOG,12/2,C,5,77,22,2,4,1
HOG,12/2,C,8,100,,,,
HOG,20/2,B,1,49,,,,
HOG,20/2,B,6,100,,,,
HOG,20/2,B,4,93,3,4,,
HOG,20/2,B,9,97,3,,,
HOG,20/2,B,3,95,5,,,
HOG,20/2,B,5,100,,,,
HOG,20/2,B,7,87,13,,,
HOG,20/2,B,2,84,13,,,3
HOG,20/2,B,8,98,2,,,
HOG,28/2,B,8,100,,,,
HOG,28/2,B,1,100,,,,
HOG,28/2,B,6,100,,,,
HOG,28/2,B,4,100,,,,
HOG,28/2,B,9,100,,,,
HOG,28/2,B,7,99,1,,,
HOG,28/2,B,3,100,,,,
HOG,28/2,B,2,71,29,3,2,1
HOG,3/1,C,4,95,,5,,1
HOG,3/1,C,7,97,2,2,,
HOG,3/1,C,2,65,35,,,
HOG,3/1,C,3,98,1,1,,
HOG,3/1,C,9,100,,,,
HOG,3/1,C,5,100,,,,
HOG,3/1,C,8,95,3,1,,3
HOG,3/1,C,6,67,31,,2,6
SB,3/16,B,3,100,,,,
SB,3/16,B,8,100,,,,
SB,3/16,B,6,79,,,,
SB,3/16,B,7,100,,,,
SB,3/16,B,1,99,1,,,
SB,3/16,B,4,100,,,,
SB,3/16,B,9,100,,,,
SB,3/16,B,2,98,2,,,
SB,3/16,B,5,98,2,,,
SB,5/15,C,9,100,,,,
SB,5/15,C,2,100,,,,
SB,5/15,C,1,100,,,,
SB,5/15,C,4,100,,,,
SB,5/15,C,8,99,,1,,
SB,5/15,C,7,100,,,,
SB,5/15,C,5,100,,,,
SB,5/15,C,3,100,,,,
SB,5/15,C,6,100,,,,
CF,NA,B,1,93,7,1,,
