Location,Unit,Disturbance,Transect,Plot,Microtopography,BareSoil_pct,OAKcount
BEF,44B,B,1,15,FLT,85,0
BEF,44B,B,1,25,SLS,50,0
BEF,44B,B,1,35,SLS,40,0
BEF,44B,B,1,45,CVX,85,0
BEF,44B,B,1,5,FLT,60,0
BEF,44B,B,1,55,CVX,90,0
BEF,44B,B,1,65,MDS,75,0
BEF,44B,B,1,75,MDS,60,0
BEF,44B,B,1,85,SLS,95,0
BEF,44B,B,1,95,CVX,5,0
BEF,45C,C,1,15,SLS,0,0
BEF,45C,C,1,25,SLS,0,0
BEF,45C,C,1,35,MDS,0,0
BEF,45C,C,1,45,MDS,0,0
BEF,45C,C,1,5,STS,0,0
BEF,45C,C,1,55,MDS,0,0
BEF,45C,C,1,65,MDS,0,0
BEF,45C,C,1,75,MDS,0,0
BEF,45C,C,2,15,MDS,0,0
BEF,45C,C,2,25,MDS,5,0
BEF,45C,C,2,35,MDS,0,0
BEF,45C,C,2,45,MDS,0,0
BEF,45C,C,2,5,MDS,0,0
BEF,46B,B,1,15,SLS,45,0
BEF,46B,B,1,25,SLS,5,0
BEF,46B,B,1,35,SLS,0,0
BEF,46B,B,1,45,FLT,0,0
BEF,46B,B,1,5,FLT,55,0
BEF,46B,B,2,15,SLS,45,0
BEF,46B,B,2,25,MDS,60,0
BEF,46B,B,2,35,FLT,90,0
BEF,46B,B,2,45,SLS,45,0
BEF,46B,B,2,5,FLT,40,0
BEF,46B,B,3,15,MDS,65,0
BEF,46B,B,3,25,CVX,70,0
BEF,46B,B,3,35,MDS,0,0
BEF,46B,B,3,45,MDS,95,0
BEF,46B,B,3,5,SLS,0,0
BEF,46B,B,3,55,MDS,45,0
BEF,46B,B,3,65,STS,55,0
BEF,46B,B,3,75,MDS,70,0
BEF,46B,B,3,85,FLT,85,0
BEF,46B,B,3,95,SLS,0,0
BEF,46B,B,4,15,MDS,80,0
BEF,46B,B,4,25,CVX,75,0
BEF,46B,B,4,35,CVX,40,0
BEF,46B,B,4,45,CVX,60,0
BEF,46B,B,4,5,SLS,65,0
BEF,46B,B,4,55,SLS,85,0
BEF,46B,B,4,65,SLS,70,0
BEF,46B,B,4,75,MDS,40,0
BEF,46C,C,1,15,MDS,0,0
BEF,46C,C,1,25,MDS,0,0
BEF,46C,C,1,35,SLS,40,0
BEF,46C,C,1,45,MDS,20,0
BEF,46C,C,1,5,MDS,0,0
BEF,46C,C,1,55,MDS,30,0
BEF,46C,C,1,65,SLS,0,0
BEF,46C,C,1,75,SLS,60,0
BEF,46C,C,2,15,SLS,0,0
BEF,46C,C,2,25,SLS,0,0
BEF,46C,C,2,35,MDS,0,0
BEF,46C,C,2,45,CVX  ,0,0
BEF,46C,C,2,5,FLT,0,0
BEF,46C,C,2,55,MDS,0,0
BEF,46C,C,2,65,SLS,30,0
BEF,46C,C,2,75,SLS,30,0
BEF,46C,C,3,15,SLS,55,0
BEF,46C,C,3,25,SLS,5,0
BEF,46C,C,3,35,SLS,0,0
BEF,46C,C,3,45,SLS,0,0
BEF,46C,C,3,5,FLT,0,0
BEF,46C,C,3,55,MDS,0,0
BEF,46C,C,3,65,SLS,0,0
BEF,46C,C,3,75,FLT,0,0
BEF,46C,C,4,15,MDS,0,0
BEF,46C,C,4,25,MDS,15,0
BEF,46C,C,4,35,MDS,0,0
BEF,46C,C,4,45,FLT,50,0
BEF,46C,C,4,5,MDS,0,0
BEF,46C,C,4,55,MDS,40,0
BEF,46C,C,4,65,MDS,5,0
BEF,46C,C,4,75,SLS,0,0
CF,NA,B,1,105,CCV,5,0
CF,NA,B,1,115,CVX,5,0
CF,NA,B,1,125,MDS,25,0
CF,NA,B,1,135,MDS,10,0
CF,NA,B,1,145,MDS,15,0
CF,NA,B,1,15,SLS,20,0
CF,NA,B,1,155,STS,10,0
CF,NA,B,1,165,SLS,5,0
CF,NA,B,1,185,STS,40,0
CF,NA,B,1,195,CCV,5,0
CF,NA,B,1,25,SLS,25,0
CF,NA,B,1,35,MDS,60,0
