Survey,Block,AcornID,Soil.type,Sterilized,Presence,Height_cm,Egrowth_cm,DRC_mm,nleaves,nlive_branches,ndead_branches
2,20,1,burn,0,0,,,,,,
1,20,1,burn,0,0,,,,,,
2,1,3,unburn,1,1,24.5,8.3,4.35,6,1,0
1,1,3,unburn,1,1,18.5,9.5,,6,1,0
2,18,6,burn,1,0,,,,,,
1,18,6,burn,1,0,,,,,,
2,6,7,burn,0,1,17.5,1.4,3.86,8,2,1
1,6,7,burn,0,1,10.2,2.2,,2,2,0
2,13,9,burn,0,1,21,9,5.85,16,3,0
1,13,9,burn,0,1,17.8,8.6,,16,3,0
2,11,12,control,0,1,24,12.5,7.17,5,1,0
1,11,12,control,0,1,19.5,13.2,,5,1,1
2,2,13,burn,1,1,9,4.2,3.24,5,1,0
1,2,13,burn,1,1,7,4.2,,5,1,0
2,20,15,burn,0,0,,,,,,
1,20,15,burn,0,0,,,,,,
2,19,16,burn,0,1,16.5,7.4,2.97,5,1,0
1,19,16,burn,0,1,14.4,7.7,,4,1,0
2,17,17,burn,1,1,19,8,6.04,7,1,0
1,17,17,burn,1,1,15.2,8.5,,7,1,0
2,19,18,burn,1,0,,,,,,
1,19,18,burn,1,0,,,,,,
2,9,19,burn,1,1,12.5,8.5,2.68,10,2,0
1,9,19,burn,1,1,11.8,8.7,,10,2,1
2,11,22,burn,0,1,13,6.5,3.16,5,1,0
1,11,22,burn,0,1,13.5,6.6,,5,1,1
2,11,30,burn,1,1,17,3.4,3.77,4,2,0
1,11,30,burn,1,1,12.5,3.9,,5,2,2
2,3,31,burn,1,1,23,5,5.74,9,2,0
1,3,31,burn,1,1,16.5,9.2,,9,1,0
2,3,33,burn,0,1,22.5,6.3,7.45,16,3,0
1,3,33,burn,0,1,12.1,3.4,,12,3,1
2,6,34,burn,1,1,18,5,5.08,5,1,0
1,6,34,burn,1,1,15.7,5.2,,5,1,0
2,1,35,burn,1,1,11,2.5,3.64,5,1,1
1,1,35,burn,1,1,9.6,3.1,,5,1,0
2,5,36,burn,1,1,18,5,5.47,8,2,1
1,5,36,burn,1,1,13.9,5.4,,5,2,0
2,18,37,burn,0,0,,,,,,
1,18,37,burn,0,0,,,,,,
2,8,38,unburn,1,0,,,,,,
1,8,38,unburn,1,0,,,,,,
2,15,40,unburn,1,1,9.5,0.5,2.51,9,1,0
1,15,40,unburn,1,0,,,,,,
2,5,42,burn,0,1,15,1.2,3.06,5,1,0
1,5,42,burn,0,1,10.7,1.6,,5,1,1
2,9,44,burn,0,1,21,19,6.19,15,3,1
1,9,44,burn,0,1,16.9,8.4,,15,3,1
2,19,46,unburn,1,1,18,7,4.26,6,1,0
1,19,46,unburn,1,1,15.8,7.2,,6,1,1
2,5,47,unburn,1,1,16,2,3.54,4,1,0
1,5,47,unburn,1,1,12.9,3,,4,1,0
2,10,48,unburn,1,0,,,,,,
1,10,48,unburn,1,0,,,,,,
2,17,49,control,1,1,14,6.5,4.72,5,1,0
1,17,49,control,1,1,13.4,6.9,,5,1,0
2,12,51,burn,0,0,,,,,,
1,12,51,burn,0,0,,,,,,
2,10,52,burn,0,0,,,,,,
1,10,52,burn,0,0,,,,,,
2,4,53,burn,0,1,22,12,5.95,8,1,0
1,4,53,burn,0,1,20.2,11.9,,9,1,0
